date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:16:59	9937/9937	---M--	200	added ('OK')	image/jpeg	etag:%2226d1-67400115-25b9daa16cdf1b8b;;;%22	https://gray-tailwind.flatheme.net/assets/images/testimonial-3.jpg	C:/Users/ycode/Downloads/portfolio/gray-tailwind.flatheme.net/assets/images/testimonial-3.jpg	(from https://gray-tailwind.flatheme.net/index-dark.html)
21:16:59	4876/4876	---M--	200	added ('OK')	image/png	etag:%22130c-67400112-60eb0015b7e18e4e;;;%22	https://gray-tailwind.flatheme.net/assets/images/client-6.png	C:/Users/ycode/Downloads/portfolio/gray-tailwind.flatheme.net/assets/images/client-6.png	(from https://gray-tailwind.flatheme.net/index-dark.html)
21:17:00	22794/22794	---M-Z	200	added ('OK')	text/html	etag:%22590a-67483931-3fd2d0c6643fa73;gz%22	https://gray-tailwind.flatheme.net/blog-single-dark.html	C:/Users/ycode/Downloads/portfolio/gray-tailwind.flatheme.net/blog-single-dark.html	(from https://gray-tailwind.flatheme.net/index-dark.html)
21:17:00	111869/111869	---M--	200	added ('OK')	image/jpeg	etag:%221b4fd-67400114-d83fec2302985a04;;;%22	https://gray-tailwind.flatheme.net/assets/images/portfolio-4.jpg	C:/Users/ycode/Downloads/portfolio/gray-tailwind.flatheme.net/assets/images/portfolio-4.jpg	(from https://gray-tailwind.flatheme.net/index-dark.html)
21:17:04	178502/178502	---M--	200	added ('OK')	image/jpeg	etag:%222b946-6740010f-e1730917f12f8e9b;;;%22	https://gray-tailwind.flatheme.net/assets/images/blog-post-3.jpg	C:/Users/ycode/Downloads/portfolio/gray-tailwind.flatheme.net/assets/images/blog-post-3.jpg	(from https://gray-tailwind.flatheme.net/index-dark.html)
21:17:05	87532/87532	---M-Z	200	added ('OK')	application/x-javascript	etag:%22155ec-67400116-4fc85936eee3febe;gz%22	https://gray-tailwind.flatheme.net/assets/plugins/jquery.min.js	C:/Users/ycode/Downloads/portfolio/gray-tailwind.flatheme.net/assets/plugins/jquery.min.js	(from https://gray-tailwind.flatheme.net/index-dark.html)
21:17:06	183317/183317	---M--	200	added ('OK')	image/jpeg	etag:%222cc15-6740010f-1b091521396970fe;;;%22	https://gray-tailwind.flatheme.net/assets/images/blog-post-1.jpg	C:/Users/ycode/Downloads/portfolio/gray-tailwind.flatheme.net/assets/images/blog-post-1.jpg	(from https://gray-tailwind.flatheme.net/index-dark.html)
21:17:06	147286/147286	---M--	200	added ('OK')	image/jpeg	etag:%2223f56-6740010f-21fbb29e2c39f3c1;;;%22	https://gray-tailwind.flatheme.net/assets/images/blog-post-2.jpg	C:/Users/ycode/Downloads/portfolio/gray-tailwind.flatheme.net/assets/images/blog-post-2.jpg	(from https://gray-tailwind.flatheme.net/index-dark.html)
21:17:07	3131/3131	---M-Z	200	added ('OK')	application/x-javascript	etag:%22c3b-67400116-3f357905d83a8127;gz%22	https://gray-tailwind.flatheme.net/assets/js/functions.js	C:/Users/ycode/Downloads/portfolio/gray-tailwind.flatheme.net/assets/js/functions.js	(from https://gray-tailwind.flatheme.net/index-dark.html)
21:17:07	333898/333898	---M-Z	200	added ('OK')	application/x-javascript	etag:%225184a-67400116-c86f81fa51f3d779;gz%22	https://gray-tailwind.flatheme.net/assets/plugins/plugins.js	C:/Users/ycode/Downloads/portfolio/gray-tailwind.flatheme.net/assets/plugins/plugins.js	(from https://gray-tailwind.flatheme.net/index-dark.html)
21:17:08	22754/22754	---M-Z	200	added ('OK')	text/html	etag:%2258e2-67483932-79dbc2e25536d065;gz%22	https://gray-tailwind.flatheme.net/portfolio-single.html	C:/Users/ycode/Downloads/portfolio/gray-tailwind.flatheme.net/portfolio-single.html	(from https://gray-tailwind.flatheme.net/index.html)
21:17:08	130396/130396	---M--	200	added ('OK')	font/woff2	etag:%221fd5c-67400118-dc42b653639eef1c;;;%22	https://gray-tailwind.flatheme.net/assets/plugins/bootstrap-icons/fonts/bootstrap-icons.woff2?dd67030699838ea613ee6dbda90effa6	C:/Users/ycode/Downloads/portfolio/gray-tailwind.flatheme.net/assets/plugins/bootstrap-icons/fonts/bootstrap-icons0107.woff2	(from https://gray-tailwind.flatheme.net/assets/plugins/bootstrap-icons/bootstrap-icons.css)
21:17:09	22751/22751	---M-Z	200	added ('OK')	text/html	etag:%2258df-67483931-48b69901e1dd4894;gz%22	https://gray-tailwind.flatheme.net/blog-single.html	C:/Users/ycode/Downloads/portfolio/gray-tailwind.flatheme.net/blog-single.html	(from https://gray-tailwind.flatheme.net/index.html)
21:17:09	176032/176032	---M--	200	added ('OK')	application/font-woff	etag:%222afa0-67400118-70e0374f19d32ef;;;%22	https://gray-tailwind.flatheme.net/assets/plugins/bootstrap-icons/fonts/bootstrap-icons.woff?dd67030699838ea613ee6dbda90effa6	C:/Users/ycode/Downloads/portfolio/gray-tailwind.flatheme.net/assets/plugins/bootstrap-icons/fonts/bootstrap-icons0107.woff	(from https://gray-tailwind.flatheme.net/assets/plugins/bootstrap-icons/bootstrap-icons.css)
